Date,Last trade price,Max,Min,Avg. Price,%chg.,Volume,Turnover in BEST in denars,Total turnover in denars
01.06.2021,97.00,97.00,97.00,97.00,-2.02,50,"4,850","4,850"
17.02.2021,99.00,0,0,99.00,0.00,0,0,"5,965,597"
16.08.2019,99.00,99.00,99.00,99.00,102.04,50,"4,950","4,950"
22.01.2016,49.00,0,0,49.00,0.00,0,0,"5,387,796"
14.01.2016,49.00,49.00,49.00,49.00,0.00,"12,149","595,301","595,301"
13.01.2016,49.00,49.00,49.00,49.00,0.00,"140,384","6,878,816","6,878,816"
12.01.2016,49.00,49.00,49.00,49.00,-51.00,10,490,490
03.09.2015,100.00,0,0,100.00,0.00,0,0,"1,464,000"
24.08.2015,100.00,0,0,100.00,0.00,0,0,"1,000,080"
15.05.2015,100.00,100.00,100.00,100.00,0.00,200,"20,000","20,000"
11.05.2015,100.00,100.00,100.00,100.00,-2.91,984,"98,400","98,400"
19.02.2015,103.00,0,0,103.00,0.00,0,0,"3,670,920"
26.12.2014,103.00,103.00,103.00,103.00,1.98,"48,544","5,000,032","5,000,032"
28.11.2014,101.00,101.00,101.00,101.00,-32.21,667,"67,367","67,367"
21.11.2014,149.00,149.00,149.00,149.00,47.52,10,"1,490","1,490"
11.11.2014,101.00,101.00,101.00,101.00,0.00,661,"66,761","66,761"
